"Year","LocationAbbr","LocationDesc","GeographicLevel","DataSource","Class","Topic","Data_Value","Data_Value_Unit","Data_Value_Type","Data_Value_Footnote_Symbol","Data_Value_Footnote","Confidence_limit_Low","Confidence_limit_High","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","LocationID"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Heart failure","337.8","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","282.8","398","Age group","Ages 65 years and older","Race","Overall","Sex","Women","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All heart disease","1263.7","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","1157.3","1406.9","Age group","Ages 65 years and older","Race","Overall","Sex","Men","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All stroke","249.7","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","208.8","291.5","Age group","Ages 65 years and older","Race","Overall","Sex","Men","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","706.8","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","613.6","808.8","Age group","Ages 65 years and older","Race","Overall","Sex","Men","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","1669.4","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","1523.8","1810","Age group","Ages 65 years and older","Race","Overall","Sex","Men","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Heart failure","456.1","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","394.5","520.4","Age group","Ages 65 years and older","Race","Overall","Sex","Men","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All heart disease","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Asian/Pacific Islander","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All stroke","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Asian/Pacific Islander","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Asian/Pacific Islander","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Asian/Pacific Islander","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Heart failure","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Asian/Pacific Islander","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All heart disease","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Black (Non-Hispanic)","Sex","Overall","17001"
